CIOCenterDiv,Center,Division,Branch,Total,Not Impacted,Admin Leave,Reinstated,Separated,Unclear
CDC\NCEH\DEHSP\EEHHEB,National Center for Environmental Health,Division of Environmental Health Science and Practice,Emerging Environmental Hazards and Health Effects Branch,33,,,33,,
CDC\NCEH\DEHSP\EPHTB,National Center for Environmental Health,Division of Environmental Health Science and Practice,Environmental Public Health Tracking Branch,22,,,22,,
CDC\NCEH\DEHSP\LPPSB,National Center for Environmental Health,Division of Environmental Health Science and Practice,Lead Poisoning Prevention and Surveillance Branch,32,,,32,,
CDC\NCEH\DEHSP\OD,National Center for Environmental Health,Division of Environmental Health Science and Practice,Office of the Director,39,,,39,,
CDC\NCEH\DEHSP\WFEHSB,National Center for Environmental Health,Division of Environmental Health Science and Practice,"Water, Food, and Environmental Health Services Branch",27,,,27,,
CDC\NCEH\DLS\CCB,National Center for Environmental Health,Division of Laboratory Sciences,Clinical Chemistry Branch,56,56,,,,
CDC\NCEH\DLS\ERB,National Center for Environmental Health,Division of Laboratory Sciences,Emergency Response Branch,25,25,,,,
CDC\NCEH\DLS\IRATB,National Center for Environmental Health,Division of Laboratory Sciences,Inorganic and Radiation Analytical Toxicology Branch,30,30,,,,
CDC\NCEH\DLS\NBB,National Center for Environmental Health,Division of Laboratory Sciences,Nutritional Biomarkers Branch,23,23,,,,
CDC\NCEH\DLS\NSMBB,National Center for Environmental Health,Division of Laboratory Sciences,Newborn Screening and Molecular Biology Branch,33,33,,,,
CDC\NCEH\DLS\OATB,National Center for Environmental Health,Division of Laboratory Sciences,Organic Analytical Toxicology Branch,35,35,,,,
CDC\NCEH\DLS\OD,National Center for Environmental Health,Division of Laboratory Sciences,Office of the Director,32,32,,,,
CDC\NCEH\DLS\TVB,National Center for Environmental Health,Division of Laboratory Sciences,Tobacco and Volatiles Branch,48,48,,,,
CDC\NCEH\OD,National Center for Environmental Health,Office of the Director,,9,9,,,,
CDC\NCEH\OD\OC,National Center for Environmental Health,Office of the Director,Office of Communications,7,7,,,,
CDC\NCEH\OD\OMA,National Center for Environmental Health,Office of the Director,Office of Management and Analytics,15,15,,,,
CDC\NCEH\OD\OPPP,National Center for Environmental Health,Office of the Director,"Office of Policy, Partnerships, and Planning",10,10,,,,
CDC\NCEH\OD\OS,National Center for Environmental Health,Office of the Director,Office of Science,11,11,,,,
CDC\NCEZID\DFWED\EDEB,National Center for Emerging and Zoonotic Infectious Diseases,"Division of Foodborne, Waterborne, and Environmental Diseases",Enteric Diseases Epidemiology Branch,33,33,,,,
CDC\NCEZID\DFWED\EDLB,National Center for Emerging and Zoonotic Infectious Diseases,"Division of Foodborne, Waterborne, and Environmental Diseases",Enteric Diseases Laboratory Branch,54,54,,,,
CDC\NCEZID\DFWED\MDB,National Center for Emerging and Zoonotic Infectious Diseases,"Division of Foodborne, Waterborne, and Environmental Diseases",Mycotic Diseases Branch,30,30,,,,
CDC\NCEZID\DFWED\OD,National Center for Emerging and Zoonotic Infectious Diseases,"Division of Foodborne, Waterborne, and Environmental Diseases",Office of the Director,45,45,,,,
CDC\NCEZID\DFWED\ORPB,National Center for Emerging and Zoonotic Infectious Diseases,"Division of Foodborne, Waterborne, and Environmental Diseases",Outbreak Response And Prevention Branch,22,22,,,,
CDC\NCEZID\DFWED\WDPB,National Center for Emerging and Zoonotic Infectious Diseases,"Division of Foodborne, Waterborne, and Environmental Diseases",Waterborne Disease Prevention Branch,37,37,,,,
CDC\NCEZID\DGMH,National Center for Emerging and Zoonotic Infectious Diseases,Division of Global Migration Health,Office of the Director,1,1,,,,
CDC\NCEZID\DGMH\IRHB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Global Migration Health,Immigrant And Refugee Health Branch,18,18,,,,
CDC\NCEZID\DGMH\OD,National Center for Emerging and Zoonotic Infectious Diseases,Division of Global Migration Health,Office of the Director,48,48,,,,
CDC\NCEZID\DGMH\PHPB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Global Migration Health,Port Health Protection Branch,58,58,,,,
CDC\NCEZID\DGMH\SBHMB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Global Migration Health,Southern Border Health And Migration Branch,17,17,,,,
CDC\NCEZID\DGMH\THB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Global Migration Health,Travelers Health Branch,14,14,,,,
CDC\NCEZID\DGMH\TRAMB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Global Migration Health,Travel Risk Assessment And Mitigation Branch,30,30,,,,
CDC\NCEZID\DHCPP\BSPB,National Center for Emerging and Zoonotic Infectious Diseases,Division of High Consequence Pathogens and Pathology,Bacterial Special Pathogens Branch,30,30,,,,
CDC\NCEZID\DHCPP\CVDB,National Center for Emerging and Zoonotic Infectious Diseases,Division of High Consequence Pathogens and Pathology,Chronic Viral Diseases Branch,23,23,,,,
CDC\NCEZID\DHCPP\IDPB,National Center for Emerging and Zoonotic Infectious Diseases,Division of High Consequence Pathogens and Pathology,Infectious Diseases Pathology Branch,21,21,,,,
CDC\NCEZID\DHCPP\OD,National Center for Emerging and Zoonotic Infectious Diseases,Division of High Consequence Pathogens and Pathology,Office of the Director,27,27,,,,
CDC\NCEZID\DHCPP\OD\ppho,National Center for Emerging and Zoonotic Infectious Diseases,Division of High Consequence Pathogens and Pathology,Prion And Public Health Office,6,,,6,,
CDC\NCEZID\DHCPP\PRB,National Center for Emerging and Zoonotic Infectious Diseases,Division of High Consequence Pathogens and Pathology,Poxvirus And Rabies Branch,29,29,,,,
CDC\NCEZID\DHCPP\vspb,National Center for Emerging and Zoonotic Infectious Diseases,Division of High Consequence Pathogens and Pathology,Viral Special Pathogens Branch,36,36,,,,
CDC\NCEZID\DHQP\CEMB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Healthcare Quality Promotion,Clinical And Environmental Microbiology Branch,67,67,,,,
CDC\NCEZID\DHQP\ERIB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Healthcare Quality Promotion,Epidemiology Research And Innovations Branch,38,38,,,,
CDC\NCEZID\DHQP\HSSRTB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Healthcare Quality Promotion,Healthcare Systems Strengthening Resilience And Training Branch,17,17,,,,
CDC\NCEZID\DHQP\IICB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Healthcare Quality Promotion,International Infection Control Branch,32,32,,,,
CDC\NCEZID\DHQP\ISO,National Center for Emerging and Zoonotic Infectious Diseases,Division of Healthcare Quality Promotion,Immunization Safety Office,41,41,,,,
CDC\NCEZID\DHQP\MPSB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Healthcare Quality Promotion,Medical Product Safety Branch,15,15,,,,
CDC\NCEZID\DHQP\OD,National Center for Emerging and Zoonotic Infectious Diseases,Division of Healthcare Quality Promotion,Office of the Director,64,64,,,,
CDC\NCEZID\DHQP\OD\arcsu,National Center for Emerging and Zoonotic Infectious Diseases,Division of Healthcare Quality Promotion,Antimicrobial Resistance Coordination and Strategy Unit,14,14,,,,
CDC\NCEZID\DHQP\PRB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Healthcare Quality Promotion,Prevention and Response Branch,47,47,,,,
CDC\NCEZID\DHQP\SB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Healthcare Quality Promotion,Surveillance Branch,35,35,,,,
CDC\NCEZID\DIDRI\AIP,National Center for Emerging and Zoonotic Infectious Diseases,Division of Infectious Disease Readiness and Innovation,Arctic Investigations Program,17,17,,,,
CDC\NCEZID\DIDRI\ELCIB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Infectious Disease Readiness and Innovation,Epidemiology Laboratory Capacity And Informatics Branch,36,36,,,,
CDC\NCEZID\DIDRI\OAMD,National Center for Emerging and Zoonotic Infectious Diseases,Division of Infectious Disease Readiness and Innovation,Office Of Advanced Molecular Detection,26,26,,,,
CDC\NCEZID\DIDRI\OD,National Center for Emerging and Zoonotic Infectious Diseases,Division of Infectious Disease Readiness and Innovation,Office of the Director,25,25,,,,
CDC\NCEZID\DIDRI\RRRSB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Infectious Disease Readiness and Innovation,Rapid Response Research And Surveillance Branch,35,35,,,,
CDC\NCEZID\DPDM\EB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Parasitic Diseases and Malaria,Entomology Branch,26,26,,,,
CDC\NCEZID\DPDM\LSDB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Parasitic Diseases and Malaria,Laboratory Science And Diagnostics Branch,53,53,,,,
CDC\NCEZID\DPDM\MB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Parasitic Diseases and Malaria,Malaria Branch,43,43,,,,
CDC\NCEZID\DPDM\OD,National Center for Emerging and Zoonotic Infectious Diseases,Division of Parasitic Diseases and Malaria,Office of the Director,10,10,,,,
CDC\NCEZID\DPDM\PDB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Parasitic Diseases and Malaria,Parasitic Diseases Branch,12,12,,,,
CDC\NCEZID\DVBD\ADB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Vectorborne Diseases,Arboviral Diseases Branch,39,39,,,,
CDC\NCEZID\DVBD\BDB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Vectorborne Diseases,Bacterial Diseases Branch,42,42,,,,
CDC\NCEZID\DVBD\DB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Vectorborne Diseases,Dengue Branch,37,37,,,,
CDC\NCEZID\DVBD\OD,National Center for Emerging and Zoonotic Infectious Diseases,Division of Vectorborne Diseases,Office of the Director,42,42,,,,
CDC\NCEZID\DVBD\RZB,National Center for Emerging and Zoonotic Infectious Diseases,Division of Vectorborne Diseases,Rickettsial Zoonoses Branch,29,29,,,,
CDC\NCEZID\OD,National Center for Emerging and Zoonotic Infectious Diseases,Office of the Director,,158,158,,,,
CDC\NCHHSTP\DHP\BCSB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of HIV Prevention,Behavioral and Clinical Surveillance Branch,47,,,47,,
CDC\NCHHSTP\DHP\DRB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of HIV Prevention,Detection and Response Branch,17,17,,,,
CDC\NCHHSTP\DHP\HPCDB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of HIV Prevention,HIV Prevention Capacity Development Branch,21,,,21,,
CDC\NCHHSTP\DHP\HRB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of HIV Prevention,HIV Research Branch,35,,,35,,
CDC\NCHHSTP\DHP\HSB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of HIV Prevention,HIV Surveillance Branch,38,38,,,,
CDC\NCHHSTP\DHP\LB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of HIV Prevention,Laboratory Branch,49,49,,,,
CDC\NCHHSTP\DHP\OD,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of HIV Prevention,Office of the Director,78,78,,,,
CDC\NCHHSTP\DHP\PCB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of HIV Prevention,Prevention Communication Branch,33,,33,,,
CDC\NCHHSTP\DHP\PDIB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of HIV Prevention,Program Development and Implementation Branch,69,69,,,,
CDC\NCHHSTP\DHP\QSB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of HIV Prevention,Qualitative Sciences Branch,24,,,24,,
CDC\NCHHSTP\DHP\TEB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of HIV Prevention,Translation and Evaluation Branch,41,41,,,,
CDC\NCHHSTP\DSTDP\BSEB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of STD Prevention,Behavioral Science and Epidemiology Branch,22,22,,,,
CDC\NCHHSTP\DSTDP\CEHSRB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of STD Prevention,"Clinical, Economics, and Health Services Research Branch",19,19,,,,
CDC\NCHHSTP\DSTDP\DIRB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of STD Prevention,Disease Intervention and Response Branch,50,,,50,,
CDC\NCHHSTP\DSTDP\OD,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of STD Prevention,Office of the Director,50,50,,,,
CDC\NCHHSTP\DSTDP\PDEB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of STD Prevention,Program Development and Evaluation Branch,24,24,,,,
CDC\NCHHSTP\DSTDP\SDSB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of STD Prevention,Surveillance and Data Science Branch,30,30,,,,
CDC\NCHHSTP\DSTDP\SLRRB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of STD Prevention,STD Lab Reference and Research Branch,28,,,28,,
CDC\NCHHSTP\DTE\CEBSB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of Tuberculosis Elimination,"Communications, Education, and Behavioral Studies Branch",13,,13,,,
CDC\NCHHSTP\DTE\CRS,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of Tuberculosis Elimination,Clinical Research Section,16,16,,,,
CDC\NCHHSTP\DTE\DMSEB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of Tuberculosis Elimination,"Data Management, Statistics, and Evaluation Branch",16,16,,,,
