unique_id,fiscal_year,agency,sub_agency,program,sub_program,sub_program_2,sub_program_3,budget_source,budget_stage,granularity,amount_millions,funding_type,program_status,is_non_add,notes,source_id,source_page
CDC-000116,2024,HHS,CDC,Environmental Health,Childhood Lead Poisoning Prevention,Childhood Lead Poisoning Prevention - BA,,Congressional Justification,Request,sub_program_2_level,66,Discretionary,Active,Subcomponent,,S002,225
CDC-000117,2024,HHS,CDC,Environmental Health,Childhood Lead Poisoning Prevention,Childhood Lead Poisoning Prevention - PHS Evaluation Transfer,,Congressional Justification,Request,sub_program_2_level,7,PHS Evaluation,Active,Subcomponent,,S002,225
CDC-000118,2024,HHS,CDC,Environmental Health,Childhood Lead Poisoning Prevention,Childhood Lead Poisoning Prevention - PPHF,,Congressional Justification,Request,sub_program_2_level,17,PPHF,Active,Subcomponent,,S002,225
CDC-000119,2024,HHS,CDC,Environmental Health,Environmental Health Activities,Amyotrophic Lateral Sclerosis Registry (ALS),,Congressional Justification,Request,sub_program_2_level,10,Discretionary,Active,Subcomponent,,S002,225
CDC-000120,2024,HHS,CDC,Environmental Health,Environmental Health Activities,Environmental Health Capacity,,Congressional Justification,Request,sub_program_2_level,174.6,Discretionary,Active,Subcomponent,,S002,225
CDC-000121,2024,HHS,CDC,Environmental Health,Environmental Health Activities,Trevor's Law,,Congressional Justification,Request,sub_program_2_level,3,Discretionary,Active,Subcomponent,,S002,225
CDC-000122,2024,HHS,CDC,Environmental Health,Environmental Health Laboratory,Newborn Screening Quality Assurance Program,,Congressional Justification,Request,sub_program_2_level,21,Discretionary,Active,Non-add,,S002,225
CDC-000123,2024,HHS,CDC,Environmental Health,Environmental Health Laboratory,Newborn Screening for Severe Combined Immunodeficiency Diseases,,Congressional Justification,Request,sub_program_2_level,1.25,Discretionary,Active,Non-add,,S002,225
CDC-000124,2024,HHS,CDC,Injury Prevention and Control,,,,Congressional Justification,Request,program_level,1351.669,Discretionary,Active,No,,S002,251
CDC-000125,2024,HHS,CDC,Injury Prevention and Control,,,,Congressional Justification,Request,program_level,1351.669,Total,Active,No,,S002,251
CDC-000126,2024,HHS,CDC,Injury Prevention and Control,Firearm Injury and Mortality Prevention Research,,,Congressional Justification,Request,sub_program_level,35,Discretionary,Active,No,,S002,251
CDC-000127,2024,HHS,CDC,Injury Prevention and Control,Injury Control Research Centers,,,Congressional Justification,Request,sub_program_level,11,Discretionary,Active,No,,S002,251
CDC-000128,2024,HHS,CDC,Injury Prevention and Control,Injury Prevention Activities,,,Congressional Justification,Request,sub_program_level,29.95,Discretionary,Active,No,,S002,251
CDC-000129,2024,HHS,CDC,Injury Prevention and Control,Intentional Injury,,,Congressional Justification,Request,sub_program_level,514.55,Discretionary,Active,No,,S002,251
CDC-000130,2024,HHS,CDC,Injury Prevention and Control,National Violent Death Reporting System (NVDRS),,,Congressional Justification,Request,sub_program_level,34.5,Discretionary,Active,No,,S002,251
CDC-000131,2024,HHS,CDC,Injury Prevention and Control,Opioid Abuse and Overdose Prevention and Surveillance,,,Congressional Justification,Request,sub_program_level,713.369,Discretionary,Active,No,,S002,251
CDC-000132,2024,HHS,CDC,Injury Prevention and Control,Unintentional Injury,,,Congressional Justification,Request,sub_program_level,13.3,Discretionary,Active,No,,S002,251
CDC-000133,2024,HHS,CDC,Injury Prevention and Control,Intentional Injury,Adverse Childhood Experiences (ACEs),,Congressional Justification,Request,sub_program_2_level,15,Discretionary,Active,Subcomponent,,S002,251
CDC-000134,2024,HHS,CDC,Injury Prevention and Control,Intentional Injury,Domestic Violence Community Projects,,Congressional Justification,Request,sub_program_2_level,10.5,Discretionary,Active,Subcomponent,,S002,251
CDC-000135,2024,HHS,CDC,Injury Prevention and Control,Intentional Injury,Domestic Violence and Sexual Violence,,Congressional Justification,Request,sub_program_2_level,39.2,Discretionary,Active,Subcomponent,,S002,
CDC-000136,2024,HHS,CDC,Injury Prevention and Control,Intentional Injury,Rape Prevention,,Congressional Justification,Request,sub_program_2_level,101.75,Discretionary,Active,Subcomponent,,S002,251
CDC-000137,2024,HHS,CDC,Injury Prevention and Control,Intentional Injury,Suicide Prevention,,Congressional Justification,Request,sub_program_2_level,80,Discretionary,Active,Subcomponent,,S002,251
CDC-000138,2024,HHS,CDC,Injury Prevention and Control,Intentional Injury,Youth and Community Violence Prevention,,Congressional Justification,Request,sub_program_2_level,268.1,Discretionary,Active,Subcomponent,,S002,251
CDC-000139,2024,HHS,CDC,Injury Prevention and Control,Unintentional Injury,Drowning Prevention,,Congressional Justification,Request,sub_program_2_level,2,Discretionary,Active,Subcomponent,,S002,251
CDC-000140,2024,HHS,CDC,Injury Prevention and Control,Unintentional Injury,Elderly Falls,,Congressional Justification,Request,sub_program_2_level,3.05,Discretionary,Active,Non-add,,S002,251
CDC-000141,2024,HHS,CDC,Injury Prevention and Control,Unintentional Injury,Traumatic Brain Injury (TBI),,Congressional Justification,Request,sub_program_2_level,8.25,Discretionary,Active,Non-add,,S002,251
CDC-000142,2024,HHS,CDC,Injury Prevention and Control,Intentional Injury,Domestic Violence and Sexual Violence,Child Maltreatment,Congressional Justification,Request,sub_program_3_level,7.25,Discretionary,Active,Non-add,,S002,251
CDC-000143,2024,HHS,CDC,Injury Prevention and Control,Intentional Injury,Domestic Violence and Sexual Violence,Child Sexual Abuse Prevention,Congressional Justification,Request,sub_program_3_level,3,Discretionary,Active,Non-add,,S002,251
CDC-000144,2024,HHS,CDC,Occupational Safety and Health,,,,Congressional Justification,Request,program_level,362.8,Discretionary,Active,No,,S002,279
CDC-000145,2024,HHS,CDC,Occupational Safety and Health,,,,Congressional Justification,Request,program_level,362.8,Total,Active,No,,S002,279
CDC-000146,2024,HHS,CDC,Occupational Safety and Health,Education and Research Centers,,,Congressional Justification,Request,sub_program_level,32,Discretionary,Active,No,,S002,279
CDC-000147,2024,HHS,CDC,Occupational Safety and Health,Firefighter Cancer Registry,,,Congressional Justification,Request,sub_program_level,5.5,Discretionary,Active,No,,S002,279
